TimeStep,Time,"Points:0","Points:1","Points:2"
1,1.00000e+00,4.98279e-01,3.21147e-02,7.66254e-02
1,1.00000e+00,9.66813e-01,7.50801e-02,1.21272e-02
1,1.00000e+00,1.43846e+00,4.87078e-02,9.57767e-02
1,1.00000e+00,1.98182e+00,6.00837e-02,9.78556e-02
1,1.00000e+00,2.43123e+00,7.41827e-02,1.75928e-02
1,1.00000e+00,2.83743e+00,2.64328e-02,3.05116e-02
1,1.00000e+00,3.31703e+00,6.86881e-02,4.26771e-02
1,1.00000e+00,3.80532e+00,1.76638e-02,3.87060e-02
1,1.00000e+00,4.39843e+00,1.62955e-02,1.37182e-02
1,1.00000e+00,4.86433e+00,5.19197e-02,7.97075e-02
1,1.00000e+00,2.52131e-01,1.70398e-01,9.58339e-02
1,1.00000e+00,8.01054e-01,1.43311e-01,6.42887e-02
1,1.00000e+00,1.23246e+00,1.14348e-01,2.01266e-02
1,1.00000e+00,1.72302e+00,1.60236e-01,8.60770e-03
1,1.00000e+00,2.21953e+00,1.54891e-01,8.44215e-03
1,1.00000e+00,2.69075e+00,1.70785e-01,8.12069e-02
1,1.00000e+00,3.19575e+00,1.98172e-01,6.23249e-02
1,1.00000e+00,3.68394e+00,1.19825e-01,7.74446e-02
1,1.00000e+00,4.10314e+00,1.71274e-01,1.20244e-02
1,1.00000e+00,4.69355e+00,1.88777e-01,8.53924e-02
1,1.00000e+00,2.88450e-02,2.30667e-01,1.59751e-02
1,1.00000e+00,5.40365e-01,2.42035e-01,1.49300e-02
1,1.00000e+00,1.08475e+00,2.63203e-01,3.45354e-02
1,1.00000e+00,1.55462e+00,2.49383e-01,8.41959e-02
1,1.00000e+00,2.08668e+00,2.59982e-01,3.00278e-02
1,1.00000e+00,2.49491e+00,2.97830e-01,6.63525e-02
1,1.00000e+00,2.94390e+00,2.24762e-01,5.62424e-02
1,1.00000e+00,3.47938e+00,2.06713e-01,4.62559e-02
1,1.00000e+00,3.97724e+00,2.76037e-01,9.73566e-02
1,1.00000e+00,4.46165e+00,2.26921e-01,2.08599e-02
1,1.00000e+00,4.88290e+00,2.32836e-01,8.13271e-02
1,1.00000e+00,3.55031e-01,3.61264e-01,5.34552e-02
1,1.00000e+00,8.46933e-01,3.62958e-01,2.87866e-02
1,1.00000e+00,1.30569e+00,3.47595e-01,7.66385e-03
1,1.00000e+00,1.81501e+00,3.49302e-01,3.37751e-03
1,1.00000e+00,2.21303e+00,3.30524e-01,1.11714e-02
1,1.00000e+00,2.78965e+00,3.16022e-01,5.54893e-02
1,1.00000e+00,3.26061e+00,3.40753e-01,2.49994e-02
1,1.00000e+00,3.70735e+00,3.09444e-01,2.93713e-02
1,1.00000e+00,4.22864e+00,3.32302e-01,2.99453e-02
1,1.00000e+00,4.60469e+00,3.49055e-01,2.01018e-02
1,1.00000e+00,1.15050e-01,4.55002e-01,1.97646e-02
1,1.00000e+00,6.93535e-01,4.05027e-01,4.11108e-02
1,1.00000e+00,1.20357e+00,4.67156e-01,2.46366e-02
